date	Google Chrome	Internet Explorer	Firefox	Safari	Microsoft Edge	Opera	Mozilla	Other/Unknown
2015 Jun 15	48.09	24.14	18.82	7.46	0.03	1.32	0.12	0.01
2015 Jun 16	48	24.19	18.96	7.36	0.03	1.32	0.12	0.01
2015 Jun 17	47.87	24.44	18.91	7.27	0.03	1.36	0.12	0.01
2015 Jun 18	48.22	23.83	19.16	7.24	0.04	1.39	0.12	0.01
2015 Jun 19	47.91	23.86	19.35	7.31	0.04	1.41	0.12	0.01
2015 Jun 20	48.78	21.14	19.66	8.42	0.05	1.83	0.1	0.01
2015 Jun 21	49.43	20.55	19.42	8.66	0.05	1.75	0.12	0.01
2015 Jun 22	48.98	23.47	18.84	7.25	0.04	1.28	0.12	0.01
2015 Jun 23	48.69	23.76	18.89	7.22	0.04	1.27	0.11	0.01
2015 Jun 24	49.17	23.35	18.91	7.09	0.04	1.32	0.12	0.01
2015 Jun 25	49.32	23.39	18.76	7.03	0.04	1.34	0.11	0
2015 Jun 26	49.39	23.11	18.84	7.14	0.04	1.37	0.1	0
2015 Jun 27	49.77	20.68	19.23	8.46	0.05	1.71	0.09	0.01
2015 Jun 28	50.07	20.41	18.91	8.77	0.05	1.69	0.1	0.01
2015 Jun 29	49.32	23.3	18.54	7.4	0.04	1.27	0.11	0.01
2015 Jun 30	49.99	22.94	18.45	7.07	0.07	1.32	0.13	0.02
2015 Jul 1	50.22	22.79	18.46	6.95	0.07	1.37	0.12	0.02
2015 Jul 2	50.33	22.59	18.74	6.69	0.07	1.45	0.12	0.02
2015 Jul 3	50.4	21.29	19.28	7.28	0.08	1.54	0.11	0.02
2015 Jul 4	50.83	20.02	19.12	7.99	0.08	1.82	0.11	0.02
2015 Jul 5	51.6	19.6	18.43	8.58	0.07	1.62	0.1	0.01
2015 Jul 6	50.53	22.64	18.04	7.33	0.07	1.27	0.11	0.01
2015 Jul 7	50.01	23.02	18.32	7.25	0.07	1.25	0.06	0.01
2015 Jul 8	49.52	23.17	18.55	7.31	0.07	1.32	0.05	0.01
2015 Jul 9	49.31	23.24	18.7	7.22	0.08	1.39	0.05	0.01
2015 Jul 10	48.4	23.68	18.97	7.37	0.09	1.43	0.05	0.01
2015 Jul 11	48.87	21.22	19.33	8.65	0.1	1.76	0.06	0.01
2015 Jul 12	49.4	20.87	18.84	8.99	0.09	1.73	0.07	0.01
2015 Jul 13	49.12	23.35	18.49	7.51	0.07	1.39	0.05	0.01
2015 Jul 14	49.36	23.2	18.48	7.48	0.08	1.35	0.05	0.01
2015 Jul 15	48.88	23.73	18.46	7.44	0.09	1.34	0.05	0.01
2015 Jul 16	48.76	23.77	18.5	7.43	0.09	1.4	0.05	0.01
2015 Jul 17	47.58	24.54	18.76	7.53	0.09	1.43	0.06	0.01
2015 Jul 18	48.06	21.89	19.14	8.99	0.11	1.74	0.07	0.01
2015 Jul 19	48.39	21.5	19	9.23	0.11	1.7	0.07	0.01
